dataset,variant,model,mode,auroc_mean,auroc_std,auprc_mean,auprc_std,precision_mean,precision_std,recall_mean,recall_std,specificity_mean,specificity_std,f1_mean,f1_std
fallalld,20hz_2s,random_forest,classification,0.9815555317609046,0.020017571072162607,0.8544292285546777,0.08822392498454297,0.8480466362149095,0.07395411963720248,0.7502831342659718,0.07086675038301857,0.9979064271631992,0.0013207338261768294,0.7941622349535136,0.05897899161462723
fallalld,easy_adl_20hz_2s,random_forest,classification,0.9733901775635312,0.01203677178532676,0.46928857280620406,0.24348404139916227,0.538251176108202,0.3065400615483541,0.5681958552807266,0.06933626510394167,0.9867492458059269,0.014317382947271286,0.5159113053548797,0.20403280500137871
fallalld,20hz_2s,xgboost,classification,0.9926470400952926,0.007096546534722952,0.8655844448477821,0.07398252858275567,0.8454631539596393,0.0582576795670617,0.7891394497086326,0.0862814487501325,0.9978331652871659,0.0010327851228358546,0.8153415664462255,0.06767218917325896
fallalld,easy_adl_20hz_2s,xgboost,classification,0.9774405872564355,0.00739009199454198,0.5292100550290726,0.14280439812264079,0.5458253244831522,0.1068937259753389,0.5294083878919091,0.12899656448719607,0.99284192768227,0.0035552048163151446,0.5241409060869063,0.08275891086553454
fallalld,20hz_2s,isolation_forest,tsad,0.9619660013572326,0.0193052419868003,0.23335628993024266,0.06445600988933219,0.23170378690378693,0.05746643466938688,0.5820027285759888,0.3165479884644263,0.9728549172638405,0.011355174349823189,0.32077881679978854,0.10680977294663148
fallalld,easy_adl_20hz_2s,isolation_forest,tsad,0.9562177489766549,0.022392912570640477,0.21284893056883739,0.10054231307054069,0.2026741511092403,0.11820678244525804,0.5381294938513446,0.2699651282858789,0.9656958531827232,0.014613075560791085,0.2800781578991696,0.13004213637109227
sisfall,20hz_2s,random_forest,classification,0.9966011446248842,0.004628133007383074,0.9854884206339986,0.015145338005255242,0.9565912093840412,0.020274392891958665,0.9729184527231372,0.02321863366975215,0.9982612033630064,0.000860168015439458,0.9645119051236902,0.01635004748520837
sisfall,easy_adl_20hz_2s,random_forest,classification,0.9786369375491786,0.006049604273536976,0.5248231508159005,0.04880001129024118,0.5416648311669976,0.04884445152637396,0.901968974667659,0.05123958194621014,0.9699175934054759,0.00688465034571617,0.6752443977942953,0.041735321271794266
sisfall,20hz_2s,xgboost,classification,0.9988419829274633,0.0014536676043402337,0.9876169401976451,0.013122514407299425,0.9626607028619292,0.009388074756761672,0.9658334214321703,0.029746398991498998,0.9985432863987939,0.00039239124039828165,0.9640403635779465,0.015729372280128193
sisfall,easy_adl_20hz_2s,xgboost,classification,0.970043717342128,0.0067685058517500075,0.4755597009258302,0.06305496496255443,0.5454313246924194,0.05257945030895037,0.6205881916075328,0.05278233084006073,0.9791858667523297,0.007102194006864768,0.5771479890445625,0.01831557407037168
sisfall,20hz_2s,isolation_forest,tsad,0.9831597630792668,0.004214532025965975,0.5924793773311086,0.06481558422575369,0.5536390332153134,0.0925197145886756,0.8671765634362849,0.057895864378464855,0.9714514928883954,0.010554872445956928,0.6701496572145661,0.05845572630922748
sisfall,easy_adl_20hz_2s,isolation_forest,tsad,0.9751933396967776,0.005079291581976322,0.48242318055390926,0.05221517051682755,0.49199864091694206,0.023775697766073422,0.7907158613480546,0.06321277636810506,0.9682531686347424,0.003591505692826959,0.6056841352760508,0.02853608946210772
sisfall,20hz_2s,lstm_ae,tsad,0.9561113234706724,0.007610178728795691,0.35535417624651117,0.09726357692907525,0.3266756167169268,0.02963210954422191,0.7252684980502455,0.0948015791889032,0.9418115602930431,0.008342325825607488,0.44949985537886883,0.04157753063793446
sisfall,easy_adl_20hz_2s,lstm_ae,tsad,0.9434939345079689,0.007469822308473178,0.2820560244713376,0.07275260697706015,0.27917300337263723,0.03264092964548976,0.6172939488247973,0.10107801882111848,0.9378952009155441,0.010140757351080781,0.3830766075376978,0.04302700776690871
umafall,20hz_2s,random_forest,classification,0.9976193492438938,0.002471262139504734,0.958444716845152,0.024386085379906986,0.8734855494507767,0.13457535200345058,0.884447229372264,0.1254201529249994,0.9941779750370735,0.007660138082447766,0.8663342318059299,0.07381002569530172
