Dataset,Model,2s F1,3s F1,5s F1,Best Window,2s AUPRC,3s AUPRC,5s AUPRC,Best AUPRC,Best AUPRC Window
SisFall,Random Forest,0.96 ± 0.02,0.97 ± 0.02,0.98 ± 0.01,5s,0.99 ± 0.02,0.99 ± 0.01,0.99 ± 0.01,0.99 ± 0.01,5s
SisFall,XGBoost,0.96 ± 0.02,0.97 ± 0.02,0.97 ± 0.01,5s,0.99 ± 0.01,0.99 ± 0.01,0.99 ± 0.01,0.99 ± 0.01,5s
SisFall,CNN1D,0.94 ± 0.02,0.96 ± 0.01,0.97 ± 0.01,5s,0.97 ± 0.02,0.98 ± 0.01,0.99 ± 0.01,0.99 ± 0.01,5s
SisFall,LSTM Classifier,0.95 ± 0.01,0.93 ± 0.03,0.94 ± 0.02,2s,0.98 ± 0.01,0.96 ± 0.02,0.96 ± 0.02,0.98 ± 0.01,2s
SisFall,Isolation Forest,0.67 ± 0.06,0.74 ± 0.04,0.81 ± 0.03,5s,0.59 ± 0.06,0.68 ± 0.07,0.76 ± 0.06,0.76 ± 0.06,5s
SisFall,LSTM AE,0.45 ± 0.04,0.51 ± 0.04,0.58 ± 0.03,5s,0.36 ± 0.10,0.39 ± 0.10,0.48 ± 0.09,0.48 ± 0.09,5s
SisFall,CNN1D AE,0.46 ± 0.06,0.49 ± 0.05,0.52 ± 0.04,5s,0.42 ± 0.09,0.39 ± 0.08,0.37 ± 0.06,0.42 ± 0.09,2s
FallAllD,Random Forest,0.79 ± 0.06,0.87 ± 0.05,0.83 ± 0.06,3s,0.85 ± 0.09,0.92 ± 0.06,0.89 ± 0.06,0.92 ± 0.06,3s
FallAllD,XGBoost,0.82 ± 0.07,0.87 ± 0.05,0.84 ± 0.06,3s,0.87 ± 0.07,0.92 ± 0.05,0.90 ± 0.06,0.92 ± 0.05,3s
FallAllD,CNN1D,0.70 ± 0.10,0.84 ± 0.09,0.75 ± 0.12,3s,0.72 ± 0.16,0.83 ± 0.12,0.74 ± 0.22,0.83 ± 0.12,3s
FallAllD,LSTM Classifier,0.62 ± 0.09,0.78 ± 0.05,0.27 ± 0.06,3s,0.64 ± 0.09,0.78 ± 0.08,0.20 ± 0.05,0.78 ± 0.08,3s
FallAllD,Isolation Forest,0.32 ± 0.11,0.64 ± 0.11,0.38 ± 0.10,3s,0.23 ± 0.06,0.57 ± 0.17,0.31 ± 0.08,0.57 ± 0.17,3s
FallAllD,LSTM AE,0.34 ± 0.18,0.53 ± 0.13,0.49 ± 0.08,3s,0.30 ± 0.12,0.50 ± 0.13,0.38 ± 0.09,0.50 ± 0.13,3s
FallAllD,CNN1D AE,0.31 ± 0.10,0.39 ± 0.07,0.28 ± 0.06,3s,0.22 ± 0.08,0.31 ± 0.08,0.17 ± 0.05,0.31 ± 0.08,3s
UMAFall,Random Forest,0.87 ± 0.07,0.88 ± 0.06,0.93 ± 0.02,5s,0.96 ± 0.02,0.96 ± 0.04,0.99 ± 0.01,0.99 ± 0.01,5s
UMAFall,XGBoost,0.91 ± 0.03,0.89 ± 0.07,0.95 ± 0.02,5s,0.97 ± 0.02,0.98 ± 0.02,1.00 ± 0.00,1.00 ± 0.00,5s
UMAFall,CNN1D,0.78 ± 0.07,0.81 ± 0.05,0.84 ± 0.05,5s,0.87 ± 0.05,0.92 ± 0.05,0.88 ± 0.06,0.92 ± 0.05,3s
UMAFall,LSTM Classifier,0.74 ± 0.09,0.71 ± 0.09,0.42 ± 0.06,2s,0.72 ± 0.11,0.75 ± 0.03,0.36 ± 0.05,0.75 ± 0.03,3s
UMAFall,Isolation Forest,0.44 ± 0.05,0.51 ± 0.04,0.60 ± 0.04,5s,0.45 ± 0.16,0.50 ± 0.13,0.61 ± 0.15,0.61 ± 0.15,5s
UMAFall,LSTM AE,0.38 ± 0.05,0.45 ± 0.06,0.52 ± 0.08,5s,0.38 ± 0.15,0.39 ± 0.11,0.46 ± 0.13,0.46 ± 0.13,5s
UMAFall,CNN1D AE,0.36 ± 0.06,0.48 ± 0.04,0.55 ± 0.09,5s,0.39 ± 0.15,0.36 ± 0.09,0.37 ± 0.04,0.39 ± 0.15,2s
UP-FALL,Random Forest,0.86 ± 0.11,0.95 ± 0.03,0.95 ± 0.04,5s,0.95 ± 0.03,0.97 ± 0.02,0.98 ± 0.03,0.98 ± 0.03,5s
UP-FALL,XGBoost,0.91 ± 0.03,0.92 ± 0.03,0.96 ± 0.03,5s,0.97 ± 0.02,0.98 ± 0.02,0.99 ± 0.02,0.99 ± 0.02,5s
UP-FALL,CNN1D,0.68 ± 0.12,0.79 ± 0.15,0.77 ± 0.23,3s,0.73 ± 0.05,0.82 ± 0.12,0.86 ± 0.21,0.86 ± 0.21,5s
UP-FALL,LSTM Classifier,0.49 ± 0.20,0.15 ± 0.10,0.21 ± 0.13,2s,0.40 ± 0.22,0.24 ± 0.14,0.18 ± 0.09,0.40 ± 0.22,2s
UP-FALL,Isolation Forest,0.33 ± 0.05,0.45 ± 0.08,0.46 ± 0.04,5s,0.17 ± 0.06,0.25 ± 0.09,0.25 ± 0.06,0.25 ± 0.06,5s
UP-FALL,LSTM AE,0.32 ± 0.02,0.41 ± 0.04,0.44 ± 0.06,5s,0.13 ± 0.01,0.19 ± 0.02,0.20 ± 0.02,0.20 ± 0.02,5s
UP-FALL,CNN1D AE,0.30 ± 0.04,0.40 ± 0.06,0.39 ± 0.07,3s,0.12 ± 0.01,0.17 ± 0.02,0.18 ± 0.02,0.18 ± 0.02,5s
